load_id,origin,destination,pickup_datetime,delivery_datetime,equipment_type,loadboard_rate,notes,weight,commodity_type,num_of_pieces,miles,dimensions,status,company_name,mc_number,agreement_date,agreed_rate
L-2001,"Nashville, TN","Phoenix, AZ",2026-05-08T08:15:00+00:00,2026-05-10T14:02:09.185484+00:00,Dry Van,2770,Drop and hook at both ends.,28000,Apparel,6,1442,48x40x48 in pallets,available,,,,
L-2002,"Los Angeles, CA","Detroit, MI",2026-05-01T14:15:00+00:00,2026-05-04T16:40:26.682426+00:00,Reefer,4390,Maintain 34F throughout transit.,43000,Meat,14,1978,48x40x48 in pallets,available,,,,
L-2003,"New Orleans, LA","Salt Lake City, UT",2026-05-11T09:15:00+00:00,2026-05-13T12:45:04.518174+00:00,Flatbed,3370,Detention paid after 2 hours.,41000,Concrete Products,9,1432,360x96x90 in,available,,,,
L-2004,"Denver, CO","Columbus, OH",2026-05-23T12:14:27.087226+00:00,2026-05-25T10:36:02.758179+00:00,Dry Van,2340,Chains nicely from a delivery in this city — repeat-lane discount possible. No-touch freight.,38000,Paper Products,24,1164,48x40x50 in pallets,available,,,,
L-2005,"Jacksonville, FL","Los Angeles, CA",2026-05-05T16:35:11.716424+00:00,2026-05-08T22:04:23.686320+00:00,Dry Van,3950,Chains nicely from a delivery in this city — repeat-lane discount possible. TWIC card required at port pickup.,28000,Electronics,26,2142,48x40x55 in pallets,available,,,,
L-2006,"El Paso, TX","Miami, FL",2026-05-22T09:00:00+00:00,2026-05-24T18:15:23.486482+00:00,Dry Van,3120,Appointment required at delivery.,32000,Electronics,11,1641,48x40x60 in pallets,available,,,,
L-2007,"Seattle, WA","Pittsburgh, PA",2026-05-18T08:30:00+00:00,2026-05-21T14:30:41.067651+00:00,Reefer,4740,Drop and hook at both ends.,22000,Pharmaceuticals,31,2132,48x40x55 in pallets,available,,,,
L-2008,"Portland, OR","Pittsburgh, PA",2026-05-30T15:30:00+00:00,2026-06-02T19:33:01.822234+00:00,Dry Van,3990,TWIC card required at port pickup.,46000,Electronics,10,2160,48x40x55 in pallets,available,,,,
L-2009,"Houston, TX","Cleveland, OH",2026-05-15T00:41:27.479867+00:00,2026-05-16T23:09:36.346207+00:00,Step Deck,3100,Chains nicely from a delivery in this city — repeat-lane discount possible. Inside delivery. Driver assist required.,43000,Oversized Cargo,22,1114,300x102x101 in,available,,,,
L-2010,"New Orleans, LA","El Paso, TX",2026-05-21T07:45:00+00:00,2026-05-22T17:44:08.290043+00:00,Dry Van,1810,TWIC card required at port pickup.,43000,Retail Goods,22,980,48x40x55 in pallets,available,,,,
L-2011,"Pittsburgh, PA","Dallas, TX",2026-05-22T14:30:00+00:00,2026-05-24T02:57:15.821750+00:00,Flatbed,2520,Detention paid after 2 hours.,41000,Steel,11,1069,420x96x36 in,available,,,,
L-2012,"Oklahoma City, OK","Cleveland, OH",2026-05-17T06:30:00+00:00,2026-05-18T16:52:00.038614+00:00,Reefer,2080,Inside delivery. Driver assist required.,36000,Frozen Seafood,23,950,48x40x65 in pallets,available,,,,
L-2013,"Minneapolis, MN","Dallas, TX",2026-05-16T05:00:00+00:00,2026-05-17T13:58:35.020074+00:00,Reefer,1920,Appointment required at delivery.,38000,Produce,24,863,48x40x48 in pallets,available,,,,
L-2014,"Houston, TX","Boston, MA",2026-05-05T13:15:00+00:00,2026-05-07T20:22:12.815457+00:00,Dry Van,3300,Multi-stop pickup at two locations.,43000,Retail Goods,30,1603,48x40x70 in pallets,available,,,,
L-2015,"Atlanta, GA","Portland, OR",2026-05-13T10:45:00+00:00,2026-05-16T17:42:30.442819+00:00,Flatbed,5120,Appointment required at delivery.,46000,Lumber,8,2168,360x96x37 in,available,,,,
L-2016,"Memphis, TN","Oklahoma City, OK",2026-05-01T06:00:00+00:00,2026-05-01T17:20:08.761687+00:00,Dry Van,850,Live unload. Lumper fee reimbursed with receipt.,22000,Electronics,22,421,48x40x50 in pallets,available,,,,
L-2017,"Las Vegas, NV","Boston, MA",2026-05-24T15:45:00+00:00,2026-05-28T10:06:07.160290+00:00,Dry Van,4740,Appointment required at delivery.,46000,Retail Goods,9,2369,48x40x48 in pallets,available,,,,
L-2018,"Atlanta, GA","Richmond, VA",2026-05-14T13:00:00+00:00,2026-05-15T03:05:36.449481+00:00,Dry Van,810,No-touch freight.,28000,Beverages,31,470,48x40x48 in pallets,available,,,,
L-2019,"Los Angeles, CA","Chicago, IL",2026-05-05T11:15:00+00:00,2026-05-08T07:12:15.050083+00:00,Dry Van,3530,Live unload. Lumper fee reimbursed with receipt.,36000,Paper Products,20,1742,48x40x65 in pallets,available,,,,
L-2020,"Houston, TX","Los Angeles, CA",2026-05-03T08:15:00+00:00,2026-05-05T11:16:32.362435+00:00,Flatbed,3300,Detention paid after 2 hours.,46000,Steel,7,1370,300x96x60 in,available,,,,
L-2021,"Dallas, TX","New Orleans, LA",2026-05-10T11:45:00+00:00,2026-05-10T23:12:33.074284+00:00,Dry Van,790,Drop and hook at both ends.,38000,Paper Products,24,442,48x40x70 in pallets,available,,,,
L-2022,"Columbus, OH","El Paso, TX",2026-05-02T05:45:00+00:00,2026-05-04T10:18:05.045514+00:00,Step Deck,3720,Multi-stop pickup at two locations.,32000,Construction Equipment,8,1427,240x102x100 in,available,,,,
L-2023,"Memphis, TN","Los Angeles, CA",2026-05-13T06:15:00+00:00,2026-05-15T14:32:44.434428+00:00,Flatbed,4170,Detention paid after 2 hours.,22000,Building Materials,27,1599,480x96x72 in,available,,,,
L-2024,"Cleveland, OH","Atlanta, GA",2026-05-22T10:15:00+00:00,2026-05-23T10:24:44.848980+00:00,Dry Van,1080,FCFS pickup window.,32000,Electronics,20,555,48x40x55 in pallets,available,,,,
L-2025,"St. Louis, MO","Los Angeles, CA",2026-05-20T15:00:00+00:00,2026-05-22T20:59:34.954384+00:00,Dry Van,2990,Inside delivery. Driver assist required.,36000,Paper Products,17,1585,48x40x48 in pallets,available,,,,
L-2026,"Newark, NJ","Detroit, MI",2026-05-06T13:30:00+00:00,2026-05-07T03:22:00.159826+00:00,Dry Van,920,Multi-stop pickup at two locations.,22000,Apparel,15,471,48x40x70 in pallets,available,,,,
L-2027,"Houston, TX","Denver, CO",2026-05-29T06:15:00+00:00,2026-05-30T12:53:57.814257+00:00,Dry Van,1730,Appointment required at delivery.,36000,Auto Parts,27,878,48x40x70 in pallets,available,,,,
L-2028,"Newark, NJ","Cleveland, OH",2026-05-09T05:00:00+00:00,2026-05-09T17:25:01.696041+00:00,Reefer,840,No-touch freight.,38000,Dairy,30,394,48x40x50 in pallets,available,,,,
L-2029,"Nashville, TN","Cleveland, OH",2026-05-18T11:00:00+00:00,2026-05-18T22:37:38.983880+00:00,Dry Van,870,No-touch freight.,32000,Paper Products,24,459,48x40x65 in pallets,available,,,,
L-2030,"San Antonio, TX","Richmond, VA",2026-05-10T10:00:00+00:00,2026-05-12T14:15:20.514766+00:00,Dry Van,2610,Live unload. Lumper fee reimbursed with receipt.,36000,Consumer Goods,17,1333,48x40x65 in pallets,available,,,,
L-2031,"Newark, NJ","Birmingham, AL",2026-05-05T08:15:00+00:00,2026-05-06T17:14:05.366874+00:00,Reefer,2150,Drop and hook at both ends.,32000,Pharmaceuticals,11,854,48x40x70 in pallets,available,,,,
L-2032,"St. Louis, MO","Atlanta, GA",2026-05-09T07:00:00+00:00,2026-05-09T19:52:12.600805+00:00,Dry Van,940,Appointment required at delivery.,22000,Electronics,12,467,48x40x60 in pallets,available,,,,
L-2033,"Denver, CO","Nashville, TN",2026-05-01T08:45:00+00:00,2026-05-02T18:27:46.972097+00:00,Dry Van,2100,FCFS pickup window.,28000,Electronics,17,1020,48x40x70 in pallets,available,,,,
L-2034,"Detroit, MI","Birmingham, AL",2026-05-31T05:00:00+00:00,2026-06-01T09:19:41.353127+00:00,Flatbed,1530,FCFS pickup window.,38000,Lumber,7,641,240x96x74 in,available,,,,
L-2035,"Chicago, IL","Tampa, FL",2026-05-13T07:01:19.021299+00:00,2026-05-14T17:54:09.786520+00:00,Flatbed,2440,Chains nicely from a delivery in this city — repeat-lane discount possible. Oversized load permit included.,36000,Lumber,19,1005,240x96x69 in,available,,,,
L-2036,"St. Louis, MO","Kansas City, MO",2026-05-12T11:00:00+00:00,2026-05-12T21:32:07.792598+00:00,Flatbed,620,Coil racks required.,41000,Building Materials,9,237,360x96x68 in,available,,,,
L-2037,"Phoenix, AZ","Charlotte, NC",2026-05-21T00:13:50.234323+00:00,2026-05-23T19:49:40.219815+00:00,Dry Van,3470,Chains nicely from a delivery in this city — repeat-lane discount possible. Inside delivery. Driver assist required.,43000,Beverages,25,1778,48x40x65 in pallets,available,,,,
L-2038,"Phoenix, AZ","Birmingham, AL",2026-05-10T09:15:00+00:00,2026-05-12T14:00:34.389360+00:00,Reefer,3380,TWIC card required at port pickup.,41000,Frozen Food,27,1452,48x40x50 in pallets,available,,,,
L-2039,"Detroit, MI","Newark, NJ",2026-05-22T06:30:00+00:00,2026-05-22T19:58:54.508943+00:00,Flatbed,1110,Appointment required at delivery.,41000,Building Materials,27,471,360x96x50 in,available,,,,
L-2040,"Richmond, VA","Portland, OR",2026-05-02T08:45:00+00:00,2026-05-06T04:36:54.345212+00:00,Dry Van,4430,Appointment required at delivery.,28000,Consumer Goods,28,2371,48x40x70 in pallets,available,,,,
L-2041,"Seattle, WA","Boston, MA",2026-05-05T05:00:00+00:00,2026-05-09T03:48:49.253857+00:00,Dry Van,4390,Multi-stop pickup at two locations.,36000,Electronics,20,2485,48x40x48 in pallets,available,,,,
L-2042,"Pittsburgh, PA","Detroit, MI",2026-05-05T13:30:00+00:00,2026-05-05T23:24:00.570362+00:00,Dry Van,400,Multi-stop pickup at two locations.,46000,Paper Products,19,205,48x40x65 in pallets,available,,,,
L-2043,"Chicago, IL","Salt Lake City, UT",2026-05-15T09:15:00+00:00,2026-05-17T11:44:58.025585+00:00,Step Deck,3780,Multi-stop pickup at two locations.,38000,Construction Equipment,21,1257,360x102x111 in,available,,,,
L-2044,"Las Vegas, NV","Baltimore, MD",2026-05-08T09:30:00+00:00,2026-05-11T12:46:43.817785+00:00,Dry Van,3680,Appointment required at delivery.,28000,Apparel,18,2100,48x40x70 in pallets,available,,,,
L-2045,"San Antonio, TX","Indianapolis, IN",2026-05-14T10:45:00+00:00,2026-05-15T20:23:35.148971+00:00,Dry Van,2010,Detention paid after 2 hours.,36000,Beverages,30,999,48x40x65 in pallets,available,,,,
L-2046,"Kansas City, MO","Houston, TX",2026-05-13T13:00:00+00:00,2026-05-14T17:41:27.479867+00:00,Step Deck,1940,Detention paid after 2 hours.,38000,Oversized Cargo,23,646,360x102x143 in,booked,Pine Ridge Trucking,672041,2026-05-10T12:00:00+00:00,1940
L-2047,"Columbus, OH","Indianapolis, IN",2026-05-09T11:45:00+00:00,2026-05-09T17:13:33.957407+00:00,Reefer,410,Detention paid after 2 hours.,41000,Frozen Seafood,29,168,48x40x50 in pallets,available,,,,
L-2048,"Philadelphia, PA","Baltimore, MD",2026-05-30T11:00:00+00:00,2026-05-30T15:06:56.843455+00:00,Dry Van,160,TWIC card required at port pickup.,43000,Consumer Goods,11,89,48x40x48 in pallets,available,,,,
L-2049,"Sacramento, CA","New Orleans, LA",2026-05-15T10:30:00+00:00,2026-05-18T11:07:29.707794+00:00,Dry Van,3390,Detention paid after 2 hours.,43000,Electronics,14,1879,48x40x48 in pallets,available,,,,
L-2050,"Chicago, IL","Houston, TX",2026-05-02T10:15:00+00:00,2026-05-03T19:41:26.074943+00:00,Step Deck,2820,Appointment required at delivery.,22000,Oversized Cargo,12,942,240x102x135 in,available,,,,
L-2051,"San Antonio, TX","Cleveland, OH",2026-05-22T06:15:00+00:00,2026-05-24T07:13:48.489361+00:00,Dry Van,2490,Inside delivery. Driver assist required.,38000,Paper Products,25,1256,48x40x65 in pallets,available,,,,
L-2052,"Oklahoma City, OK","Phoenix, AZ",2026-05-31T09:00:00+00:00,2026-06-01T16:05:41.060148+00:00,Step Deck,2430,Detention paid after 2 hours.,38000,Heavy Machinery,18,839,360x102x108 in,available,,,,
L-2053,"Dallas, TX","Cleveland, OH",2026-05-28T15:00:00+00:00,2026-05-30T02:39:53.671919+00:00,Dry Van,1870,Detention paid after 2 hours.,22000,Apparel,27,1024,48x40x55 in pallets,available,,,,
L-2054,"Dallas, TX","Minneapolis, MN",2026-05-01T11:45:00+00:00,2026-05-02T17:25:55.759737+00:00,Flatbed,2260,TWIC card required at port pickup.,41000,Lumber,28,863,300x96x63 in,available,,,,
L-2055,"Los Angeles, CA","St. Louis, MO",2026-05-20T14:45:00+00:00,2026-05-22T22:18:34.182312+00:00,Flatbed,3900,Appointment required at delivery.,38000,Lumber,32,1585,240x96x53 in,available,,,,
L-2056,"Newark, NJ","Richmond, VA",2026-05-19T15:45:00+00:00,2026-05-20T00:42:56.111326+00:00,Dry Van,570,Inside delivery. Driver assist required.,46000,Paper Products,21,281,48x40x50 in pallets,available,,,,
L-2057,"Denver, CO","Columbus, OH",2026-05-29T15:30:00+00:00,2026-05-31T15:00:11.390802+00:00,Dry Van,2020,Detention paid after 2 hours.,36000,Apparel,21,1164,48x40x65 in pallets,available,,,,
L-2058,"New Orleans, LA","Detroit, MI",2026-05-21T13:45:00+00:00,2026-05-22T23:42:06.233301+00:00,Flatbed,2300,Detention paid after 2 hours.,28000,Concrete Products,28,939,300x96x55 in,available,,,,
L-2059,"Atlanta, GA","Miami, FL",2026-05-17T10:45:00+00:00,2026-05-18T14:51:23.493081+00:00,Reefer,1380,TWIC card required at port pickup.,41000,Meat,14,606,48x40x55 in pallets,available,,,,
L-2060,"Sacramento, CA","Detroit, MI",2026-05-11T06:15:00+00:00,2026-05-14T07:24:58.190011+00:00,Dry Van,3640,Multi-stop pickup at two locations.,46000,Electronics,25,2020,48x40x55 in pallets,available,,,,
L-2061,"Houston, TX","Chicago, IL",2026-05-12T07:30:00+00:00,2026-05-13T14:23:47.736488+00:00,Dry Van,1700,Drop and hook at both ends.,32000,Electronics,23,942,48x40x55 in pallets,available,,,,
L-2062,"Atlanta, GA","Albuquerque, NM",2026-05-04T05:30:00+00:00,2026-05-06T06:45:27.316007+00:00,Reefer,2880,Drop and hook at both ends.,46000,Dairy,14,1269,48x40x60 in pallets,available,,,,
L-2063,"Houston, TX","Sacramento, CA",2026-05-03T15:00:00+00:00,2026-05-05T21:42:24.868900+00:00,Dry Van,2780,Appointment required at delivery.,38000,Paper Products,9,1605,48x40x65 in pallets,available,,,,
L-2064,"New Orleans, LA","Charlotte, NC",2026-05-26T15:15:00+00:00,2026-05-27T19:18:45.986972+00:00,Reefer,1510,TWIC card required at port pickup.,43000,Meat,15,648,48x40x65 in pallets,available,,,,
L-2065,"Chicago, IL","Nashville, TN",2026-05-02T15:00:00+00:00,2026-05-03T04:43:49.298885+00:00,Reefer,950,FCFS pickup window.,36000,Meat,27,397,48x40x48 in pallets,available,,,,
L-2066,"El Paso, TX","Cleveland, OH",2026-05-06T05:45:00+00:00,2026-05-08T12:00:43.253346+00:00,Dry Van,2760,Appointment required at delivery.,46000,Auto Parts,15,1523,48x40x70 in pallets,available,,,,
L-2067,"Phoenix, AZ","Philadelphia, PA",2026-05-30T09:15:00+00:00,2026-06-02T12:29:26.001112+00:00,Dry Van,4030,FCFS pickup window.,36000,Electronics,32,2077,48x40x50 in pallets,available,,,,
L-2068,"Dallas, TX","Los Angeles, CA",2026-05-20T15:30:00+00:00,2026-05-22T15:59:47.809661+00:00,Dry Van,2420,Detention paid after 2 hours.,46000,Apparel,14,1237,48x40x65 in pallets,available,,,,
L-2069,"Columbus, OH","Boston, MA",2026-05-20T05:45:00+00:00,2026-05-21T09:30:29.288495+00:00,Dry Van,1100,Appointment required at delivery.,38000,Auto Parts,27,641,48x40x65 in pallets,available,,,,
L-2070,"Memphis, TN","Houston, TX",2026-05-27T09:00:00+00:00,2026-05-27T23:43:56.769660+00:00,Step Deck,1370,TWIC card required at port pickup.,32000,Oversized Cargo,14,484,240x102x133 in,available,,,,
L-2071,"Chicago, IL","Boston, MA",2026-05-12T11:30:00+00:00,2026-05-13T17:44:39.238886+00:00,Dry Van,1710,No-touch freight.,28000,Paper Products,19,848,48x40x70 in pallets,available,,,,
L-2072,"Indianapolis, IN","Memphis, TN",2026-05-27T14:00:00+00:00,2026-05-28T01:28:45.493084+00:00,Flatbed,930,Live unload. Lumper fee reimbursed with receipt.,41000,Concrete Products,30,383,420x96x91 in,available,,,,
L-2073,"Detroit, MI","Dallas, TX",2026-05-14T05:15:00+00:00,2026-05-15T15:17:01.527251+00:00,Flatbed,2610,Drop and hook at both ends.,46000,Concrete Products,12,998,360x96x71 in,available,,,,
L-2074,"Houston, TX","Memphis, TN",2026-05-04T05:15:00+00:00,2026-05-04T19:46:08.872681+00:00,Dry Van,920,Multi-stop pickup at two locations.,38000,Paper Products,19,484,48x40x48 in pallets,available,,,,
L-2075,"Los Angeles, CA","Albuquerque, NM",2026-05-21T07:45:00+00:00,2026-05-22T12:43:14.204063+00:00,Dry Van,1250,FCFS pickup window.,38000,Auto Parts,19,662,48x40x60 in pallets,available,,,,
L-2076,"Chicago, IL","Cleveland, OH",2026-05-13T08:15:00+00:00,2026-05-13T19:50:45.987856+00:00,Dry Van,610,Detention paid after 2 hours.,38000,Retail Goods,16,307,48x40x65 in pallets,available,,,,
L-2077,"Las Vegas, NV","Dallas, TX",2026-05-27T15:45:00+00:00,2026-05-29T04:34:15.752564+00:00,Dry Van,2030,No-touch freight.,46000,Apparel,16,1068,48x40x65 in pallets,available,,,,
L-2078,"New Orleans, LA","Kansas City, MO",2026-05-30T10:15:00+00:00,2026-05-31T15:48:47.154691+00:00,Dry Van,1310,Appointment required at delivery.,36000,Paper Products,30,682,48x40x60 in pallets,available,,,,
L-2079,"Dallas, TX","Atlanta, GA",2026-05-23T11:45:00+00:00,2026-05-24T18:05:01.161628+00:00,Step Deck,2050,Drop and hook at both ends.,32000,Construction Equipment,10,719,360x102x133 in,available,,,,
L-2080,"Albuquerque, NM","Las Vegas, NV",2026-05-17T13:00:00+00:00,2026-05-18T03:31:47.191117+00:00,Dry Van,980,Inside delivery. Driver assist required.,43000,Auto Parts,8,482,48x40x60 in pallets,available,,,,
L-2081,"Charlotte, NC","Cleveland, OH",2026-05-21T06:30:00+00:00,2026-05-21T20:36:33.715247+00:00,Dry Van,890,TWIC card required at port pickup.,43000,Beverages,23,435,48x40x48 in pallets,available,,,,
L-2082,"Memphis, TN","Los Angeles, CA",2026-05-08T06:45:00+00:00,2026-05-10T16:38:36.063286+00:00,Dry Van,2980,FCFS pickup window.,28000,Apparel,6,1599,48x40x48 in pallets,available,,,,
L-2083,"Phoenix, AZ","El Paso, TX",2026-05-12T11:15:00+00:00,2026-05-12T21:07:36.443023+00:00,Dry Van,660,Inside delivery. Driver assist required.,43000,Packaged Food,11,345,48x40x50 in pallets,available,,,,
L-2084,"Houston, TX","New Orleans, LA",2026-05-08T13:15:00+00:00,2026-05-08T22:31:07.513598+00:00,Reefer,740,Pre-cool trailer 1 hour before loading.,38000,Pharmaceuticals,6,317,48x40x60 in pallets,available,,,,
L-2085,"Boston, MA","Pittsburgh, PA",2026-05-28T08:47:08.548887+00:00,2026-05-28T23:12:47.451181+00:00,Flatbed,1260,Chains nicely from a delivery in this city — repeat-lane discount possible. Detention paid after 2 hours.,38000,Building Materials,28,481,360x96x65 in,available,,,,
L-2086,"Newark, NJ","Memphis, TN",2026-05-28T13:00:00+00:00,2026-05-29T20:50:55.762108+00:00,Dry Van,1810,FCFS pickup window.,41000,Beverages,6,945,48x40x70 in pallets,available,,,,
L-2087,"Portland, OR","Pittsburgh, PA",2026-05-30T15:45:00+00:00,2026-06-02T22:16:52.880155+00:00,Dry Van,4300,Appointment required at delivery.,38000,Consumer Goods,25,2160,48x40x55 in pallets,available,,,,
L-2088,"Los Angeles, CA","Chicago, IL",2026-05-22T07:00:00+00:00,2026-05-25T05:27:13.013339+00:00,Reefer,3930,TWIC card required at port pickup.,22000,Produce,7,1742,48x40x65 in pallets,available,,,,
L-2089,"Salt Lake City, UT","Albuquerque, NM",2026-05-11T11:15:00+00:00,2026-05-11T23:45:11.445043+00:00,Dry Van,920,FCFS pickup window.,41000,Apparel,32,485,48x40x50 in pallets,available,,,,
L-2090,"Sacramento, CA","Newark, NJ",2026-05-26T06:45:00+00:00,2026-05-30T06:24:05.663417+00:00,Dry Van,4930,Appointment required at delivery.,32000,Packaged Food,27,2490,48x40x70 in pallets,available,,,,
L-2091,"Atlanta, GA","Birmingham, AL",2026-05-03T11:00:00+00:00,2026-05-03T16:50:16.203528+00:00,Reefer,320,Pre-cool trailer 1 hour before loading.,28000,Produce,29,139,48x40x70 in pallets,available,,,,
L-2092,"Sacramento, CA","New Orleans, LA",2026-05-04T08:45:00+00:00,2026-05-07T06:25:48.354955+00:00,Reefer,4770,Appointment required at delivery.,41000,Produce,26,1879,48x40x48 in pallets,available,,,,
L-2093,"Nashville, TN","Philadelphia, PA",2026-05-21T11:00:00+00:00,2026-05-22T13:13:08.788980+00:00,Flatbed,1670,TWIC card required at port pickup.,22000,Lumber,9,683,240x96x51 in,available,,,,
L-2094,"Newark, NJ","Kansas City, MO",2026-05-15T10:45:00+00:00,2026-05-16T22:46:45.700976+00:00,Dry Van,2200,Live unload. Lumper fee reimbursed with receipt.,32000,Beverages,32,1084,48x40x60 in pallets,available,,,,
L-2095,"Memphis, TN","Charlotte, NC",2026-05-23T10:15:00+00:00,2026-05-24T00:24:12.716439+00:00,Dry Van,1050,Live unload. Lumper fee reimbursed with receipt.,36000,Consumer Goods,27,519,48x40x55 in pallets,available,,,,
L-2096,"Columbus, OH","Tampa, FL",2026-05-09T08:00:00+00:00,2026-05-10T16:23:45.755351+00:00,Dry Van,1440,Appointment required at delivery.,46000,Beverages,26,830,48x40x70 in pallets,available,,,,
L-2097,"Memphis, TN","Houston, TX",2026-05-08T07:15:00+00:00,2026-05-08T19:12:15.986201+00:00,Dry Van,930,Appointment required at delivery.,36000,Packaged Food,16,484,48x40x50 in pallets,available,,,,
L-2098,"Charlotte, NC","Dallas, TX",2026-05-05T14:30:00+00:00,2026-05-07T00:15:14.599059+00:00,Dry Van,1810,Drop and hook at both ends.,28000,Retail Goods,10,928,48x40x48 in pallets,available,,,,
L-2099,"Denver, CO","Cleveland, OH",2026-05-01T07:30:00+00:00,2026-05-03T06:11:22.545857+00:00,Reefer,2890,Continuous run mode required.,43000,Produce,8,1224,48x40x60 in pallets,available,,,,
L-2100,"Chicago, IL","Miami, FL",2026-05-04T13:15:00+00:00,2026-05-06T14:51:05.985259+00:00,Reefer,2920,Pre-cool trailer 1 hour before loading.,22000,Meat,22,1191,48x40x55 in pallets,available,,,,
L-2101,"Chicago, IL","Houston, TX",2026-05-28T11:45:00+00:00,2026-05-29T21:20:03.803943+00:00,Dry Van,1850,TWIC card required at port pickup.,46000,Paper Products,8,942,48x40x48 in pallets,available,,,,
L-2102,"Phoenix, AZ","Salt Lake City, UT",2026-05-09T15:30:00+00:00,2026-05-10T05:07:25.023343+00:00,Dry Van,940,Detention paid after 2 hours.,38000,Retail Goods,9,505,48x40x70 in pallets,available,,,,
