load_id,origin,destination,pickup_datetime,delivery_datetime,equipment_type,loadboard_rate,notes,weight,commodity_type,num_of_pieces,miles,dimensions,status,company_name,mc_number,agreement_date,agreed_rate
L-2103,"Houston, TX","Oklahoma City, OK",2026-05-14T13:15:00+00:00,2026-05-15T01:09:54.915425+00:00,Flatbed,1030,Oversized load permit included.,46000,Building Materials,9,413,360x96x63 in,available,,,,
L-2104,"Phoenix, AZ","Columbus, OH",2026-05-22T13:00:00+00:00,2026-05-25T06:38:41.636952+00:00,Dry Van,2890,Live unload. Lumper fee reimbursed with receipt.,28000,Retail Goods,29,1664,48x40x70 in pallets,available,,,,
L-2105,"Salt Lake City, UT","Albuquerque, NM",2026-05-19T14:30:00+00:00,2026-05-20T04:52:48.191012+00:00,Reefer,1110,Pre-cool trailer 1 hour before loading.,43000,Frozen Food,30,485,48x40x60 in pallets,available,,,,
L-2106,"Newark, NJ","El Paso, TX",2026-05-12T06:15:00+00:00,2026-05-15T04:42:32.114532+00:00,Dry Van,3380,Live unload. Lumper fee reimbursed with receipt.,46000,Apparel,17,1892,48x40x65 in pallets,available,,,,
L-2107,"Salt Lake City, UT","Phoenix, AZ",2026-05-19T08:45:00+00:00,2026-05-20T00:13:50.234323+00:00,Step Deck,1470,FCFS pickup window.,22000,Construction Equipment,6,505,240x102x113 in,available,,,,
L-2108,"Atlanta, GA","Memphis, TN",2026-05-01T07:15:00+00:00,2026-05-01T18:14:07.023765+00:00,Dry Van,580,Drop and hook at both ends.,43000,Packaged Food,8,336,48x40x70 in pallets,available,,,,
L-2109,"Cleveland, OH","Chicago, IL",2026-05-15T10:15:00+00:00,2026-05-15T19:52:12.764532+00:00,Dry Van,610,Live unload. Lumper fee reimbursed with receipt.,41000,Beverages,7,307,48x40x50 in pallets,available,,,,
L-2110,"El Paso, TX","Los Angeles, CA",2026-05-09T13:45:00+00:00,2026-05-10T17:40:21.528550+00:00,Flatbed,1750,Appointment required at delivery.,46000,Steel,30,699,480x96x43 in,available,,,,
L-2111,"Denver, CO","Richmond, VA",2026-05-22T15:45:00+00:00,2026-05-24T21:38:15.851143+00:00,Dry Van,2560,Detention paid after 2 hours.,38000,Apparel,25,1489,48x40x48 in pallets,available,,,,
L-2112,"Dallas, TX","Indianapolis, IN",2026-05-25T07:30:00+00:00,2026-05-26T11:55:04.038690+00:00,Dry Van,1300,Detention paid after 2 hours.,28000,Electronics,11,763,48x40x50 in pallets,available,,,,
L-2113,"Seattle, WA","Kansas City, MO",2026-05-17T14:30:00+00:00,2026-05-19T18:49:41.887151+00:00,Flatbed,3780,TWIC card required at port pickup.,22000,Building Materials,8,1502,360x96x72 in,available,,,,
L-2114,"Chicago, IL","Birmingham, AL",2026-05-10T06:45:00+00:00,2026-05-11T06:24:48.334450+00:00,Flatbed,1380,Tarps and chains required.,41000,Concrete Products,20,579,360x96x41 in,available,,,,
L-2115,"Chicago, IL","Las Vegas, NV",2026-05-19T11:00:00+00:00,2026-05-21T17:00:11.040435+00:00,Dry Van,3010,Appointment required at delivery.,38000,Beverages,16,1521,48x40x50 in pallets,available,,,,
L-2116,"Dallas, TX","Minneapolis, MN",2026-05-17T14:15:00+00:00,2026-05-18T23:08:01.287335+00:00,Reefer,1970,Pre-cool trailer 1 hour before loading.,41000,Frozen Food,32,863,48x40x50 in pallets,available,,,,
L-2117,"Los Angeles, CA","Phoenix, AZ",2026-05-07T07:15:00+00:00,2026-05-07T19:24:39.100256+00:00,Dry Van,630,TWIC card required at port pickup.,28000,Apparel,20,356,48x40x65 in pallets,available,,,,
L-2118,"New Orleans, LA","Baltimore, MD",2026-05-28T10:15:00+00:00,2026-05-29T19:59:20.584555+00:00,Flatbed,2520,FCFS pickup window.,46000,Lumber,31,999,360x96x73 in,available,,,,
L-2119,"Dallas, TX","Tampa, FL",2026-05-10T13:45:00+00:00,2026-05-11T20:13:13.544336+00:00,Reefer,2290,Live unload. Lumper fee reimbursed with receipt.,41000,Frozen Food,26,916,48x40x48 in pallets,available,,,,
L-2120,"Memphis, TN","Minneapolis, MN",2026-05-19T14:00:00+00:00,2026-05-20T17:47:56.165333+00:00,Dry Van,1270,TWIC card required at port pickup.,36000,Paper Products,22,700,48x40x50 in pallets,available,,,,
L-2121,"Oklahoma City, OK","El Paso, TX",2026-05-26T10:00:00+00:00,2026-05-27T11:31:05.505622+00:00,Dry Van,990,TWIC card required at port pickup.,32000,Auto Parts,20,575,48x40x65 in pallets,available,,,,
L-2122,"Cleveland, OH","Salt Lake City, UT",2026-05-30T09:45:00+00:00,2026-06-01T16:39:54.279320+00:00,Dry Van,3050,Drop and hook at both ends.,41000,Packaged Food,31,1564,48x40x70 in pallets,available,,,,
L-2123,"Atlanta, GA","Jacksonville, FL",2026-05-04T14:45:00+00:00,2026-05-04T23:35:11.716424+00:00,Dry Van,520,Inside delivery. Driver assist required.,32000,Packaged Food,17,285,48x40x55 in pallets,available,,,,
L-2124,"Oklahoma City, OK","New Orleans, LA",2026-05-10T14:45:00+00:00,2026-05-11T16:50:38.302992+00:00,Dry Van,1150,Multi-stop pickup at two locations.,41000,Auto Parts,8,576,48x40x70 in pallets,booked,Summit Cargo Solutions,203684,2026-05-06T11:45:00+00:00,1150
L-2125,"Atlanta, GA","Richmond, VA",2026-05-01T10:30:00+00:00,2026-05-01T22:37:15.786089+00:00,Reefer,1070,TWIC card required at port pickup.,36000,Produce,12,470,48x40x50 in pallets,available,,,,
L-2126,"Houston, TX","Salt Lake City, UT",2026-05-28T06:00:00+00:00,2026-05-30T06:37:39.781018+00:00,Dry Van,2310,Inside delivery. Driver assist required.,32000,Apparel,11,1199,48x40x50 in pallets,available,,,,
L-2127,"Philadelphia, PA","Salt Lake City, UT",2026-05-02T11:30:00+00:00,2026-05-05T12:36:19.626080+00:00,Flatbed,5350,Tarps and chains required.,36000,Concrete Products,15,1920,420x96x50 in,available,,,,
L-2128,"Columbus, OH","Detroit, MI",2026-05-29T08:30:00+00:00,2026-05-29T16:28:23.618281+00:00,Dry Van,310,FCFS pickup window.,46000,Paper Products,30,163,48x40x60 in pallets,available,,,,
L-2129,"Detroit, MI","St. Louis, MO",2026-05-27T08:15:00+00:00,2026-05-27T22:49:19.227649+00:00,Dry Van,880,No-touch freight.,22000,Retail Goods,23,454,48x40x48 in pallets,available,,,,
L-2130,"Jacksonville, FL","St. Louis, MO",2026-05-03T07:30:00+00:00,2026-05-04T12:19:02.196773+00:00,Dry Van,1510,Live unload. Lumper fee reimbursed with receipt.,32000,Apparel,13,751,48x40x60 in pallets,available,,,,
L-2131,"Newark, NJ","Jacksonville, FL",2026-05-02T11:30:00+00:00,2026-05-03T17:04:59.204264+00:00,Dry Van,1530,Drop and hook at both ends.,28000,Beverages,16,832,48x40x48 in pallets,available,,,,
L-2132,"Philadelphia, PA","Atlanta, GA",2026-05-02T09:45:00+00:00,2026-05-03T13:50:03.436635+00:00,Dry Van,1320,TWIC card required at port pickup.,32000,Retail Goods,20,665,48x40x65 in pallets,booked,Cascadia Freight Co,541938,2026-04-30T16:45:00+00:00,1320
L-2133,"Dallas, TX","Las Vegas, NV",2026-05-07T07:45:00+00:00,2026-05-08T17:33:17.090789+00:00,Dry Van,1910,Live unload. Lumper fee reimbursed with receipt.,38000,Apparel,7,1068,48x40x50 in pallets,available,,,,
L-2134,"Chicago, IL","Philadelphia, PA",2026-05-27T13:00:00+00:00,2026-05-28T16:47:16.151165+00:00,Dry Van,1300,FCFS pickup window.,36000,Auto Parts,19,663,48x40x48 in pallets,available,,,,
L-2135,"Memphis, TN","Tampa, FL",2026-05-06T06:30:00+00:00,2026-05-07T08:07:50.582250+00:00,Dry Van,1230,TWIC card required at port pickup.,22000,Beverages,7,668,48x40x70 in pallets,available,,,,
L-2136,"Seattle, WA","Miami, FL",2026-05-12T06:30:00+00:00,2026-05-16T08:05:04.213311+00:00,Dry Van,5430,No-touch freight.,28000,Consumer Goods,10,2731,48x40x48 in pallets,available,,,,
L-2137,"Denver, CO","Kansas City, MO",2026-05-27T13:45:00+00:00,2026-05-28T15:25:00.996208+00:00,Dry Van,960,TWIC card required at port pickup.,32000,Retail Goods,7,557,48x40x55 in pallets,available,,,,
L-2138,"Los Angeles, CA","San Antonio, TX",2026-05-11T09:45:00+00:00,2026-05-13T11:43:35.366913+00:00,Dry Van,2160,Appointment required at delivery.,46000,Consumer Goods,15,1201,48x40x55 in pallets,available,,,,
L-2139,"Newark, NJ","El Paso, TX",2026-05-09T06:30:00+00:00,2026-05-12T06:05:16.099917+00:00,Flatbed,5050,Detention paid after 2 hours.,43000,Lumber,16,1892,300x96x67 in,available,,,,
L-2140,"Atlanta, GA","Boston, MA",2026-05-26T06:45:00+00:00,2026-05-27T13:47:08.548887+00:00,Dry Van,1780,No-touch freight.,32000,Apparel,9,936,48x40x48 in pallets,available,,,,
L-2141,"Phoenix, AZ","Memphis, TN",2026-05-20T11:15:00+00:00,2026-05-22T13:11:20.613242+00:00,Dry Van,2350,No-touch freight.,41000,Paper Products,25,1259,48x40x60 in pallets,available,,,,
L-2142,"Las Vegas, NV","El Paso, TX",2026-05-12T14:15:00+00:00,2026-05-13T17:40:52.167306+00:00,Dry Van,1170,TWIC card required at port pickup.,32000,Beverages,7,581,48x40x50 in pallets,available,,,,
L-2143,"Dallas, TX","Cleveland, OH",2026-05-12T10:45:00+00:00,2026-05-13T23:01:40.326411+00:00,Step Deck,2980,TWIC card required at port pickup.,22000,Oversized Cargo,17,1024,300x102x124 in,available,,,,
L-2144,"New Orleans, LA","Los Angeles, CA",2026-05-17T10:45:00+00:00,2026-05-20T05:23:15.150355+00:00,Reefer,3720,Live unload. Lumper fee reimbursed with receipt.,38000,Frozen Seafood,6,1669,48x40x70 in pallets,available,,,,
L-2145,"Los Angeles, CA","Boston, MA",2026-05-30T14:00:00+00:00,2026-06-03T12:50:49.584143+00:00,Reefer,6320,Appointment required at delivery.,38000,Dairy,25,2590,48x40x55 in pallets,available,,,,
L-2146,"Atlanta, GA","Boston, MA",2026-05-05T06:45:00+00:00,2026-05-06T14:09:38.251641+00:00,Dry Van,1940,No-touch freight.,46000,Auto Parts,27,936,48x40x55 in pallets,available,,,,
L-2147,"Jacksonville, FL","Los Angeles, CA",2026-05-10T09:15:00+00:00,2026-05-13T14:56:14.051098+00:00,Reefer,5310,Multi-stop pickup at two locations.,32000,Meat,13,2142,48x40x48 in pallets,available,,,,
L-2148,"Los Angeles, CA","Denver, CO",2026-05-01T10:30:00+00:00,2026-05-02T16:56:58.644086+00:00,Dry Van,1600,Live unload. Lumper fee reimbursed with receipt.,32000,Paper Products,8,829,48x40x55 in pallets,available,,,,
L-2149,"Portland, OR","Newark, NJ",2026-05-25T11:00:00+00:00,2026-05-29T06:06:04.705665+00:00,Reefer,5860,TWIC card required at port pickup.,41000,Dairy,20,2430,48x40x70 in pallets,available,,,,
L-2150,"Cleveland, OH","Tampa, FL",2026-05-25T07:45:00+00:00,2026-05-26T16:30:05.238525+00:00,Dry Van,1880,Multi-stop pickup at two locations.,22000,Retail Goods,10,937,48x40x55 in pallets,available,,,,
L-2151,"El Paso, TX","Seattle, WA",2026-05-12T14:30:00+00:00,2026-05-14T19:23:01.445369+00:00,Dry Van,2440,Multi-stop pickup at two locations.,38000,Electronics,14,1375,48x40x50 in pallets,available,,,,
L-2152,"Nashville, TN","Memphis, TN",2026-05-03T14:15:00+00:00,2026-05-03T22:32:14.041613+00:00,Reefer,430,Maintain 34F throughout transit.,32000,Meat,29,196,48x40x65 in pallets,available,,,,
L-2153,"Albuquerque, NM","San Antonio, TX",2026-05-02T15:30:00+00:00,2026-05-03T18:25:28.271676+00:00,Dry Van,1190,Drop and hook at both ends.,43000,Auto Parts,21,616,48x40x70 in pallets,booked,Pine Ridge Trucking,672041,2026-04-26T12:30:00+00:00,1190
L-2154,"Columbus, OH","Memphis, TN",2026-05-16T08:45:00+00:00,2026-05-16T22:07:11.047749+00:00,Flatbed,1350,Inside delivery. Driver assist required.,28000,Lumber,20,509,420x96x66 in,available,,,,
L-2155,"Chicago, IL","Indianapolis, IN",2026-05-11T10:30:00+00:00,2026-05-11T19:40:53.387442+00:00,Dry Van,330,Multi-stop pickup at two locations.,32000,Retail Goods,23,164,48x40x48 in pallets,available,,,,
L-2156,"Phoenix, AZ","Cleveland, OH",2026-05-09T13:15:00+00:00,2026-05-12T08:42:48.637944+00:00,Dry Van,3160,Detention paid after 2 hours.,22000,Auto Parts,25,1745,48x40x60 in pallets,available,,,,
L-2157,"Los Angeles, CA","Seattle, WA",2026-05-07T07:45:00+00:00,2026-05-08T18:56:01.959520+00:00,Dry Van,1810,FCFS pickup window.,46000,Packaged Food,21,960,48x40x48 in pallets,available,,,,
L-2158,"Houston, TX","Birmingham, AL",2026-05-31T08:15:00+00:00,2026-06-01T09:54:12.155213+00:00,Reefer,1210,TWIC card required at port pickup.,22000,Dairy,25,566,48x40x70 in pallets,available,,,,
L-2159,"Atlanta, GA","Newark, NJ",2026-05-28T06:45:00+00:00,2026-05-29T10:05:08.663193+00:00,Dry Van,1460,Detention paid after 2 hours.,38000,Consumer Goods,17,740,48x40x48 in pallets,available,,,,
L-2160,"Portland, OR","El Paso, TX",2026-05-07T10:30:00+00:00,2026-05-09T10:30:50.857196+00:00,Reefer,3170,FCFS pickup window.,46000,Meat,32,1286,48x40x65 in pallets,available,,,,
L-2161,"Atlanta, GA","Phoenix, AZ",2026-05-13T10:30:00+00:00,2026-05-15T18:29:28.778471+00:00,Dry Van,3150,Appointment required at delivery.,41000,Auto Parts,25,1588,48x40x65 in pallets,available,,,,
L-2162,"Portland, OR","Minneapolis, MN",2026-05-02T07:30:00+00:00,2026-05-04T13:10:33.108315+00:00,Dry Van,2500,Multi-stop pickup at two locations.,46000,Consumer Goods,10,1423,48x40x55 in pallets,available,,,,
L-2163,"St. Louis, MO","Nashville, TN",2026-05-20T09:30:00+00:00,2026-05-20T18:35:21.335801+00:00,Dry Van,500,FCFS pickup window.,46000,Beverages,21,253,48x40x48 in pallets,available,,,,
L-2164,"Salt Lake City, UT","Jacksonville, FL",2026-05-14T15:30:00+00:00,2026-05-17T15:22:01.269321+00:00,Flatbed,4770,FCFS pickup window.,22000,Steel,26,1834,480x96x72 in,available,,,,
L-2165,"Los Angeles, CA","El Paso, TX",2026-05-06T14:45:00+00:00,2026-05-07T17:19:15.970200+00:00,Reefer,1490,Continuous run mode required.,36000,Dairy,9,699,48x40x50 in pallets,available,,,,
L-2166,"Dallas, TX","Baltimore, MD",2026-05-05T11:15:00+00:00,2026-05-07T11:06:41.434694+00:00,Dry Van,2450,Drop and hook at both ends.,46000,Beverages,28,1211,48x40x50 in pallets,available,,,,
L-2167,"Cleveland, OH","Chicago, IL",2026-05-22T13:45:00+00:00,2026-05-22T23:08:42.037422+00:00,Reefer,710,Multi-stop pickup at two locations.,32000,Produce,16,307,48x40x65 in pallets,booked,J.B. HUNT TRANSPORT INC,184320,2026-05-18T09:45:00+00:00,746
L-2168,"Denver, CO","Columbus, OH",2026-05-07T08:30:00+00:00,2026-05-09T08:00:44.447772+00:00,Reefer,2970,FCFS pickup window.,36000,Dairy,30,1164,48x40x55 in pallets,available,,,,
L-2169,"Jacksonville, FL","Chicago, IL",2026-05-11T13:30:00+00:00,2026-05-12T21:01:19.021299+00:00,Flatbed,2110,Tarps and chains required.,38000,Concrete Products,27,864,480x96x60 in,available,,,,
L-2170,"Boston, MA","New Orleans, LA",2026-05-10T05:30:00+00:00,2026-05-12T10:28:52.517535+00:00,Dry Van,2490,TWIC card required at port pickup.,28000,Retail Goods,26,1358,48x40x55 in pallets,booked,Pine Ridge Trucking,672041,2026-05-03T04:30:00+00:00,2614
L-2171,"Miami, FL","Newark, NJ",2026-05-27T14:30:00+00:00,2026-05-29T04:03:07.544646+00:00,Dry Van,1910,Appointment required at delivery.,38000,Electronics,13,1091,48x40x48 in pallets,available,,,,
L-2172,"Atlanta, GA","St. Louis, MO",2026-05-02T06:45:00+00:00,2026-05-02T19:24:40.228178+00:00,Dry Van,810,Inside delivery. Driver assist required.,46000,Electronics,6,467,48x40x65 in pallets,available,,,,
L-2173,"St. Louis, MO","Salt Lake City, UT",2026-05-16T08:30:00+00:00,2026-05-18T06:57:52.814911+00:00,Dry Van,2360,Live unload. Lumper fee reimbursed with receipt.,22000,Paper Products,26,1159,48x40x65 in pallets,available,,,,
L-2174,"Los Angeles, CA","Kansas City, MO",2026-05-30T07:45:00+00:00,2026-06-01T12:21:32.327614+00:00,Flatbed,3750,Drop and hook at both ends.,32000,Steel,32,1354,420x96x86 in,available,,,,
L-2175,"Indianapolis, IN","Seattle, WA",2026-05-29T05:00:00+00:00,2026-06-01T03:32:00.847834+00:00,Step Deck,5780,No-touch freight.,28000,Construction Equipment,15,1867,300x102x137 in,available,,,,
L-2176,"Columbus, OH","St. Louis, MO",2026-05-28T14:45:00+00:00,2026-05-29T01:45:40.853974+00:00,Reefer,900,Continuous run mode required.,28000,Frozen Seafood,20,396,48x40x70 in pallets,available,,,,
L-2177,"Sacramento, CA","Portland, OR",2026-05-26T09:15:00+00:00,2026-05-26T21:36:43.126759+00:00,Dry Van,970,Multi-stop pickup at two locations.,43000,Packaged Food,16,483,48x40x48 in pallets,available,,,,
L-2178,"Portland, OR","Las Vegas, NV",2026-05-16T10:15:00+00:00,2026-05-17T13:22:38.353736+00:00,Dry Van,1350,FCFS pickup window.,43000,Retail Goods,16,755,48x40x55 in pallets,available,,,,
L-2179,"Memphis, TN","Dallas, TX",2026-05-23T08:00:00+00:00,2026-05-23T21:03:04.120053+00:00,Dry Van,760,Detention paid after 2 hours.,46000,Packaged Food,27,419,48x40x65 in pallets,available,,,,
L-2180,"St. Louis, MO","Memphis, TN",2026-05-21T09:30:00+00:00,2026-05-21T18:45:30.606453+00:00,Flatbed,670,TWIC card required at port pickup.,36000,Steel,10,240,420x96x83 in,available,,,,
L-2181,"Memphis, TN","Miami, FL",2026-05-25T14:15:00+00:00,2026-05-26T22:46:38.778528+00:00,Dry Van,1660,Multi-stop pickup at two locations.,28000,Paper Products,28,874,48x40x55 in pallets,available,,,,
L-2182,"Dallas, TX","Albuquerque, NM",2026-05-19T14:15:00+00:00,2026-05-20T14:37:41.335055+00:00,Dry Van,1020,Appointment required at delivery.,46000,Electronics,28,586,48x40x65 in pallets,available,,,,
L-2183,"Indianapolis, IN","Sacramento, CA",2026-05-26T05:45:00+00:00,2026-05-29T03:53:51.998493+00:00,Reefer,4380,Drop and hook at both ends.,43000,Dairy,23,1881,48x40x60 in pallets,available,,,,
L-2184,"Atlanta, GA","Memphis, TN",2026-05-13T09:00:00+00:00,2026-05-13T20:42:11.584553+00:00,Flatbed,780,No-touch freight.,28000,Steel,28,336,240x96x70 in,available,,,,
L-2185,"Dallas, TX","Sacramento, CA",2026-05-10T11:15:00+00:00,2026-05-12T17:03:57.197701+00:00,Reefer,3290,Detention paid after 2 hours.,43000,Frozen Food,20,1437,48x40x60 in pallets,available,,,,
L-2186,"Seattle, WA","Sacramento, CA",2026-05-21T10:00:00+00:00,2026-05-22T11:12:50.020258+00:00,Flatbed,1600,Oversized load permit included.,43000,Building Materials,13,625,240x96x84 in,available,,,,
L-2187,"Dallas, TX","Nashville, TN",2026-05-18T11:15:00+00:00,2026-05-19T12:33:36.173354+00:00,Dry Van,1080,Appointment required at delivery.,41000,Beverages,29,616,48x40x48 in pallets,available,,,,
L-2188,"Dallas, TX","Charlotte, NC",2026-05-08T08:00:00+00:00,2026-05-09T14:57:48.912669+00:00,Reefer,2150,Pre-cool trailer 1 hour before loading.,22000,Frozen Food,28,928,48x40x48 in pallets,available,,,,
L-2189,"Los Angeles, CA","San Antonio, TX",2026-05-08T14:15:00+00:00,2026-05-10T15:17:15.154206+00:00,Dry Van,2110,FCFS pickup window.,22000,Paper Products,13,1201,48x40x70 in pallets,available,,,,
L-2190,"Memphis, TN","Atlanta, GA",2026-05-25T10:15:00+00:00,2026-05-25T20:10:37.407866+00:00,Reefer,860,Multi-stop pickup at two locations.,32000,Meat,13,336,48x40x60 in pallets,available,,,,
L-2191,"Phoenix, AZ","Pittsburgh, PA",2026-05-21T11:45:00+00:00,2026-05-24T08:26:15.130996+00:00,Dry Van,3740,Detention paid after 2 hours.,41000,Retail Goods,31,1825,48x40x65 in pallets,available,,,,
L-2192,"Phoenix, AZ","Charlotte, NC",2026-05-10T11:15:00+00:00,2026-05-13T09:49:39.591800+00:00,Dry Van,3180,Appointment required at delivery.,46000,Retail Goods,15,1778,48x40x70 in pallets,available,,,,
L-2193,"San Antonio, TX","Philadelphia, PA",2026-05-31T11:15:00+00:00,2026-06-02T16:54:13.234303+00:00,Dry Van,2670,Live unload. Lumper fee reimbursed with receipt.,38000,Beverages,20,1505,48x40x55 in pallets,available,,,,
L-2194,"Houston, TX","Kansas City, MO",2026-05-02T09:45:00+00:00,2026-05-03T13:21:52.875657+00:00,Flatbed,1770,Appointment required at delivery.,22000,Building Materials,31,646,480x96x82 in,available,,,,
L-2195,"Atlanta, GA","Oklahoma City, OK",2026-05-07T10:30:00+00:00,2026-05-08T17:25:41.084552+00:00,Dry Van,1340,Appointment required at delivery.,22000,Paper Products,29,755,48x40x48 in pallets,available,,,,
L-2196,"Miami, FL","Newark, NJ",2026-05-13T08:30:00+00:00,2026-05-14T21:25:19.399902+00:00,Dry Van,2050,No-touch freight.,43000,Electronics,15,1091,48x40x55 in pallets,available,,,,
L-2197,"Salt Lake City, UT","Minneapolis, MN",2026-05-04T13:30:00+00:00,2026-05-06T00:50:14.359184+00:00,Reefer,2220,Drop and hook at both ends.,41000,Dairy,24,984,48x40x50 in pallets,booked,Heartland Hauling,339476,2026-05-01T10:30:00+00:00,2331
L-2198,"Miami, FL","Denver, CO",2026-05-18T15:45:00+00:00,2026-05-21T11:25:50.768940+00:00,Dry Van,3150,Detention paid after 2 hours.,36000,Apparel,24,1725,48x40x50 in pallets,available,,,,
L-2199,"Indianapolis, IN","Oklahoma City, OK",2026-05-09T13:45:00+00:00,2026-05-10T17:21:11.937578+00:00,Flatbed,1640,Oversized load permit included.,41000,Lumber,23,688,420x96x47 in,available,,,,
L-2200,"Minneapolis, MN","Kansas City, MO",2026-05-17T05:00:00+00:00,2026-05-17T19:00:02.708801+00:00,Flatbed,1100,Detention paid after 2 hours.,22000,Steel,10,411,300x96x40 in,available,,,,
L-2201,"Jacksonville, FL","Denver, CO",2026-05-17T13:30:00+00:00,2026-05-19T17:02:30.481712+00:00,Dry Van,2850,Drop and hook at both ends.,46000,Electronics,6,1465,48x40x65 in pallets,booked,Continental Trans LLC,918275,2026-05-10T23:30:00+00:00,2992
L-2202,"Pittsburgh, PA","Charlotte, NC",2026-05-17T09:30:00+00:00,2026-05-17T18:48:30.853405+00:00,Dry Van,720,Inside delivery. Driver assist required.,43000,Consumer Goods,9,362,48x40x48 in pallets,booked,SCHNEIDER NATIONAL CARRIERS INC,87413,2026-05-12T19:30:00+00:00,720
L-2203,"Cleveland, OH","Denver, CO",2026-05-20T14:30:00+00:00,2026-05-22T16:14:27.087226+00:00,Dry Van,2440,Live unload. Lumper fee reimbursed with receipt.,38000,Electronics,17,1224,48x40x60 in pallets,booked,Heartland Hauling,339476,2026-05-17T02:30:00+00:00,2440
L-2204,"Chicago, IL","Cleveland, OH",2026-05-10T06:00:00+00:00,2026-05-10T14:30:50.407278+00:00,Flatbed,760,TWIC card required at port pickup.,43000,Building Materials,7,307,240x96x80 in,available,,,,
L-2205,"El Paso, TX","Las Vegas, NV",2026-05-21T10:00:00+00:00,2026-05-22T13:11:56.993455+00:00,Reefer,1290,Continuous run mode required.,22000,Dairy,24,581,48x40x60 in pallets,available,,,,
