load_id,origin,destination,pickup_datetime,delivery_datetime,equipment_type,loadboard_rate,notes,weight,commodity_type,num_of_pieces,miles,dimensions,status,company_name,mc_number,agreement_date,agreed_rate
L-2206,"Las Vegas, NV","San Antonio, TX",2026-05-29T14:00:00+00:00,2026-05-31T00:08:14.704846+00:00,Dry Van,1830,Appointment required at delivery.,41000,Apparel,24,1071,48x40x50 in pallets,available,,,,
L-2207,"New Orleans, LA","Birmingham, AL",2026-05-06T15:15:00+00:00,2026-05-07T01:45:24.421246+00:00,Dry Van,610,Multi-stop pickup at two locations.,43000,Apparel,16,312,48x40x60 in pallets,available,,,,
L-2208,"New Orleans, LA","Albuquerque, NM",2026-05-17T10:00:00+00:00,2026-05-18T18:55:50.675338+00:00,Flatbed,2790,No-touch freight.,36000,Steel,25,1027,480x96x74 in,available,,,,
L-2209,"Portland, OR","Atlanta, GA",2026-05-07T03:36:54.345212+00:00,2026-05-10T09:46:40.804597+00:00,Dry Van,4040,Chains nicely from a delivery in this city — repeat-lane discount possible. Detention paid after 2 hours.,43000,Apparel,8,2168,48x40x65 in pallets,available,,,,
L-2210,"Phoenix, AZ","Cleveland, OH",2026-05-03T09:15:00+00:00,2026-05-06T05:40:11.999900+00:00,Flatbed,4660,No-touch freight.,32000,Steel,17,1745,240x96x41 in,available,,,,
L-2211,"Dallas, TX","Nashville, TN",2026-05-25T09:00:00+00:00,2026-05-26T09:51:00.100865+00:00,Dry Van,1150,Multi-stop pickup at two locations.,32000,Packaged Food,23,616,48x40x65 in pallets,available,,,,
L-2212,"Chicago, IL","Las Vegas, NV",2026-05-12T14:00:00+00:00,2026-05-14T20:48:27.713596+00:00,Dry Van,3070,Drop and hook at both ends.,41000,Auto Parts,15,1521,48x40x60 in pallets,available,,,,
L-2213,"Seattle, WA","Sacramento, CA",2026-05-19T14:15:00+00:00,2026-05-20T17:29:28.550282+00:00,Flatbed,1480,FCFS pickup window.,32000,Building Materials,14,625,420x96x45 in,available,,,,
L-2214,"Dallas, TX","Seattle, WA",2026-05-14T09:45:00+00:00,2026-05-17T06:27:38.399388+00:00,Dry Van,3010,Appointment required at delivery.,41000,Apparel,29,1679,48x40x70 in pallets,available,,,,
L-2215,"Indianapolis, IN","Portland, OR",2026-05-05T09:00:00+00:00,2026-05-08T10:24:55.057858+00:00,Dry Van,3790,Detention paid after 2 hours.,41000,Auto Parts,31,1881,48x40x55 in pallets,available,,,,
L-2216,"Chicago, IL","Jacksonville, FL",2026-05-10T10:15:00+00:00,2026-05-11T17:26:45.740290+00:00,Dry Van,1780,No-touch freight.,32000,Retail Goods,15,864,48x40x70 in pallets,available,,,,
L-2217,"Atlanta, GA","Boston, MA",2026-05-11T11:30:00+00:00,2026-05-12T21:29:09.521022+00:00,Reefer,2140,Maintain 34F throughout transit.,43000,Frozen Seafood,12,936,48x40x65 in pallets,available,,,,
L-2218,"Columbus, OH","Seattle, WA",2026-05-31T13:15:00+00:00,2026-06-03T15:09:49.751342+00:00,Flatbed,5450,Live unload. Lumper fee reimbursed with receipt.,38000,Steel,32,2008,420x96x79 in,booked,Gulf Coast Carriers,721594,2026-05-25T15:15:00+00:00,5450
L-2219,"Indianapolis, IN","Albuquerque, NM",2026-05-08T09:15:00+00:00,2026-05-10T09:27:03.404035+00:00,Reefer,2510,Maintain 34F throughout transit.,43000,Produce,21,1167,48x40x65 in pallets,booked,Cascadia Freight Co,541938,2026-05-05T19:15:00+00:00,2636
L-2220,"Portland, OR","Kansas City, MO",2026-05-14T14:00:00+00:00,2026-05-16T21:01:22.381206+00:00,Reefer,3640,Multi-stop pickup at two locations.,41000,Pharmaceuticals,25,1493,48x40x70 in pallets,booked,Big Sky Motor Lines,456813,2026-05-10T12:00:00+00:00,3822
L-2221,"Minneapolis, MN","Sacramento, CA",2026-05-22T10:15:00+00:00,2026-05-24T17:02:16.797811+00:00,Dry Van,2880,Detention paid after 2 hours.,22000,Electronics,30,1510,48x40x55 in pallets,available,,,,
L-2222,"Oklahoma City, OK","Charlotte, NC",2026-05-04T09:15:00+00:00,2026-05-05T18:04:21.737864+00:00,Dry Van,1750,Detention paid after 2 hours.,36000,Consumer Goods,20,939,48x40x70 in pallets,booked,SWIFT TRANSPORTATION CO OF ARIZONA LLC,244265,2026-05-03T05:15:00+00:00,1750
L-2223,"Memphis, TN","Minneapolis, MN",2026-05-01T13:00:00+00:00,2026-05-02T16:10:54.223975+00:00,Dry Van,1220,Inside delivery. Driver assist required.,28000,Packaged Food,17,700,48x40x55 in pallets,available,,,,
L-2224,"Albuquerque, NM","Philadelphia, PA",2026-05-12T13:00:00+00:00,2026-05-15T09:42:45.589511+00:00,Dry Van,3180,FCFS pickup window.,46000,Paper Products,7,1748,48x40x70 in pallets,booked,Pine Ridge Trucking,672041,2026-05-10T10:00:00+00:00,3180
L-2225,"Houston, TX","San Antonio, TX",2026-05-22T07:15:00+00:00,2026-05-22T15:04:26.312187+00:00,Dry Van,340,Detention paid after 2 hours.,32000,Auto Parts,20,188,48x40x50 in pallets,available,,,,
L-2226,"Richmond, VA","New Orleans, LA",2026-05-06T11:45:00+00:00,2026-05-07T17:44:48.368751+00:00,Reefer,2080,Detention paid after 2 hours.,36000,Frozen Seafood,18,894,48x40x48 in pallets,available,,,,
L-2227,"Jacksonville, FL","Chicago, IL",2026-05-25T06:00:00+00:00,2026-05-26T14:28:40.833939+00:00,Dry Van,1590,Appointment required at delivery.,32000,Apparel,20,864,48x40x48 in pallets,booked,Lonestar Logistics LLC,885214,2026-05-21T16:00:00+00:00,1590
L-2228,"Sacramento, CA","Boston, MA",2026-05-11T15:45:00+00:00,2026-05-15T16:40:30.841264+00:00,Reefer,5970,TWIC card required at port pickup.,28000,Pharmaceuticals,25,2624,48x40x50 in pallets,available,,,,
L-2229,"Baltimore, MD","Memphis, TN",2026-05-03T07:30:00+00:00,2026-05-04T11:47:29.207798+00:00,Reefer,1720,No-touch freight.,38000,Meat,28,791,48x40x50 in pallets,available,,,,
L-2230,"Detroit, MI","New Orleans, LA",2026-05-19T11:45:00+00:00,2026-05-20T19:16:22.853270+00:00,Dry Van,1790,TWIC card required at port pickup.,32000,Retail Goods,15,939,48x40x50 in pallets,available,,,,
L-2231,"Los Angeles, CA","Atlanta, GA",2026-05-28T10:00:00+00:00,2026-05-31T10:34:42.368440+00:00,Dry Van,3870,Multi-stop pickup at two locations.,36000,Consumer Goods,22,1932,48x40x70 in pallets,available,,,,
L-2232,"Indianapolis, IN","Charlotte, NC",2026-05-14T13:45:00+00:00,2026-05-15T00:58:44.450219+00:00,Flatbed,1150,Appointment required at delivery.,22000,Concrete Products,15,428,240x96x53 in,booked,SWIFT TRANSPORTATION CO OF ARIZONA LLC,244265,2026-05-07T08:45:00+00:00,1150
L-2233,"Los Angeles, CA","Kansas City, MO",2026-05-25T13:45:00+00:00,2026-05-27T17:01:44.057057+00:00,Dry Van,2590,FCFS pickup window.,28000,Retail Goods,30,1354,48x40x65 in pallets,available,,,,
L-2234,"Baltimore, MD","Tampa, FL",2026-05-25T13:15:00+00:00,2026-05-26T22:14:56.770481+00:00,Reefer,2090,Pre-cool trailer 1 hour before loading.,28000,Frozen Food,30,852,48x40x50 in pallets,booked,Big Sky Motor Lines,456813,2026-05-24T13:15:00+00:00,2090
L-2235,"Phoenix, AZ","San Antonio, TX",2026-05-12T06:45:00+00:00,2026-05-13T15:07:52.182773+00:00,Dry Van,1680,Appointment required at delivery.,28000,Apparel,12,846,48x40x70 in pallets,available,,,,
L-2236,"Memphis, TN","Tampa, FL",2026-05-06T15:15:00+00:00,2026-05-07T19:44:57.830064+00:00,Flatbed,1810,Tarps and chains required.,36000,Concrete Products,17,668,480x96x53 in,available,,,,
L-2237,"Memphis, TN","Kansas City, MO",2026-05-23T09:30:00+00:00,2026-05-23T21:10:15.392349+00:00,Dry Van,650,Detention paid after 2 hours.,28000,Packaged Food,7,369,48x40x55 in pallets,available,,,,
L-2238,"Newark, NJ","Albuquerque, NM",2026-05-08T07:30:00+00:00,2026-05-11T06:51:14.137959+00:00,Flatbed,4590,Tarps and chains required.,43000,Building Materials,26,1802,360x96x76 in,available,,,,
L-2239,"Chicago, IL","New Orleans, LA",2026-05-21T06:45:00+00:00,2026-05-22T13:30:44.833998+00:00,Dry Van,1640,No-touch freight.,38000,Auto Parts,20,835,48x40x60 in pallets,available,,,,
L-2240,"Phoenix, AZ","Dallas, TX",2026-05-03T13:30:00+00:00,2026-05-04T22:34:49.529853+00:00,Step Deck,2390,Detention paid after 2 hours.,43000,Oversized Cargo,32,884,240x102x127 in,available,,,,
L-2241,"Las Vegas, NV","Atlanta, GA",2026-05-18T06:22:38.353736+00:00,2026-05-21T02:58:28.479497+00:00,Dry Van,3470,Chains nicely from a delivery in this city — repeat-lane discount possible. Drop and hook at both ends.,46000,Packaged Food,7,1741,48x40x48 in pallets,available,,,,
L-2242,"Nashville, TN","Philadelphia, PA",2026-05-30T07:45:00+00:00,2026-05-31T11:14:09.861158+00:00,Dry Van,1210,Inside delivery. Driver assist required.,43000,Auto Parts,26,683,48x40x55 in pallets,booked,Continental Trans LLC,918275,2026-05-22T22:45:00+00:00,1210
L-2243,"El Paso, TX","Pittsburgh, PA",2026-05-09T06:30:00+00:00,2026-05-11T14:55:04.926884+00:00,Dry Van,2730,FCFS pickup window.,32000,Packaged Food,29,1588,48x40x70 in pallets,available,,,,
L-2244,"New Orleans, LA","Indianapolis, IN",2026-05-23T06:00:00+00:00,2026-05-24T09:06:49.264948+00:00,Dry Van,1250,Appointment required at delivery.,28000,Auto Parts,22,713,48x40x70 in pallets,booked,Continental Trans LLC,918275,2026-05-19T14:00:00+00:00,1250
L-2245,"Chicago, IL","Dallas, TX",2026-05-27T06:45:00+00:00,2026-05-28T13:36:22.046416+00:00,Dry Van,1390,Detention paid after 2 hours.,46000,Packaged Food,8,804,48x40x70 in pallets,available,,,,
L-2246,"Richmond, VA","Las Vegas, NV",2026-05-12T09:15:00+00:00,2026-05-15T12:13:15.183118+00:00,Dry Van,4020,Inside delivery. Driver assist required.,32000,Packaged Food,8,2072,48x40x65 in pallets,booked,Big Sky Motor Lines,456813,2026-05-09T12:15:00+00:00,4221
L-2247,"Memphis, TN","Dallas, TX",2026-05-06T13:30:00+00:00,2026-05-07T02:46:11.021180+00:00,Reefer,1060,Maintain 34F throughout transit.,32000,Pharmaceuticals,27,419,48x40x60 in pallets,available,,,,
L-2248,"Newark, NJ","Chicago, IL",2026-05-05T06:45:00+00:00,2026-05-06T10:11:46.113222+00:00,Dry Van,1280,Inside delivery. Driver assist required.,43000,Auto Parts,13,702,48x40x55 in pallets,available,,,,
L-2249,"Atlanta, GA","Sacramento, CA",2026-05-25T05:30:00+00:00,2026-05-28T07:56:30.418341+00:00,Dry Van,4120,FCFS pickup window.,36000,Apparel,26,2081,48x40x48 in pallets,booked,Big Sky Motor Lines,456813,2026-05-20T07:30:00+00:00,4120
L-2250,"Charlotte, NC","Detroit, MI",2026-05-04T08:45:00+00:00,2026-05-04T23:22:56.385550+00:00,Reefer,1190,Drop and hook at both ends.,28000,Dairy,17,504,48x40x55 in pallets,available,,,,
L-2251,"Houston, TX","New Orleans, LA",2026-05-12T14:15:00+00:00,2026-05-13T01:38:27.253506+00:00,Reefer,670,Live unload. Lumper fee reimbursed with receipt.,28000,Dairy,6,317,48x40x55 in pallets,available,,,,
L-2252,"Los Angeles, CA","San Antonio, TX",2026-05-17T09:45:00+00:00,2026-05-19T09:27:51.483386+00:00,Dry Van,2080,Multi-stop pickup at two locations.,43000,Beverages,23,1201,48x40x65 in pallets,booked,Big Sky Motor Lines,456813,2026-05-15T12:45:00+00:00,2184
L-2253,"San Antonio, TX","Pittsburgh, PA",2026-05-03T14:15:00+00:00,2026-05-05T17:56:50.112735+00:00,Dry Van,2450,Detention paid after 2 hours.,32000,Apparel,24,1290,48x40x70 in pallets,booked,Big Sky Motor Lines,456813,2026-05-01T08:15:00+00:00,2450
L-2254,"New Orleans, LA","Los Angeles, CA",2026-05-24T08:00:00+00:00,2026-05-27T02:21:28.508454+00:00,Dry Van,2910,Drop and hook at both ends.,43000,Beverages,15,1669,48x40x70 in pallets,booked,Lonestar Logistics LLC,885214,2026-05-18T01:00:00+00:00,2910
L-2255,"Miami, FL","Seattle, WA",2026-05-23T07:00:00+00:00,2026-05-27T08:16:31.189885+00:00,Dry Van,5180,FCFS pickup window.,41000,Consumer Goods,11,2731,48x40x55 in pallets,booked,Summit Cargo Solutions,203684,2026-05-16T18:00:00+00:00,5180
L-2256,"Houston, TX","Pittsburgh, PA",2026-05-25T05:30:00+00:00,2026-05-27T05:28:06.352992+00:00,Flatbed,2910,FCFS pickup window.,38000,Steel,28,1137,480x96x76 in,available,,,,
L-2257,"Dallas, TX","Boston, MA",2026-05-02T13:15:00+00:00,2026-05-04T19:42:02.704001+00:00,Dry Van,3080,Live unload. Lumper fee reimbursed with receipt.,38000,Packaged Food,13,1549,48x40x70 in pallets,available,,,,
L-2258,"Detroit, MI","Dallas, TX",2026-05-08T05:45:00+00:00,2026-05-09T15:09:57.261547+00:00,Dry Van,1760,Drop and hook at both ends.,32000,Consumer Goods,23,998,48x40x70 in pallets,available,,,,
L-2259,"Miami, FL","Charlotte, NC",2026-05-08T11:30:00+00:00,2026-05-09T13:41:06.114595+00:00,Dry Van,1250,Live unload. Lumper fee reimbursed with receipt.,28000,Packaged Food,22,655,48x40x70 in pallets,booked,Heartland Hauling,339476,2026-04-30T22:30:00+00:00,1250
L-2260,"Boston, MA","El Paso, TX",2026-05-26T14:00:00+00:00,2026-05-29T19:10:34.743467+00:00,Dry Van,4190,FCFS pickup window.,28000,Electronics,30,2068,48x40x55 in pallets,booked,J.B. HUNT TRANSPORT INC,184320,2026-05-19T13:00:00+00:00,4400
L-2261,"Phoenix, AZ","Sacramento, CA",2026-05-01T10:15:00+00:00,2026-05-02T12:05:46.969305+00:00,Reefer,1560,Appointment required at delivery.,38000,Dairy,20,634,48x40x55 in pallets,available,,,,
L-2262,"Memphis, TN","Boston, MA",2026-05-24T14:15:00+00:00,2026-05-26T11:31:56.155826+00:00,Step Deck,2940,Multi-stop pickup at two locations.,43000,Heavy Machinery,17,1134,360x102x140 in,available,,,,
L-2263,"Newark, NJ","Dallas, TX",2026-05-25T11:30:00+00:00,2026-05-27T13:09:20.865879+00:00,Dry Van,2530,Drop and hook at both ends.,36000,Consumer Goods,10,1362,48x40x70 in pallets,available,,,,
L-2264,"Las Vegas, NV","Sacramento, CA",2026-05-29T14:45:00+00:00,2026-05-30T03:16:24.195500+00:00,Dry Van,720,Live unload. Lumper fee reimbursed with receipt.,41000,Electronics,24,386,48x40x48 in pallets,booked,Big Sky Motor Lines,456813,2026-05-24T20:45:00+00:00,720
L-2265,"Detroit, MI","Albuquerque, NM",2026-05-03T15:00:00+00:00,2026-05-05T17:57:35.753449+00:00,Reefer,3030,FCFS pickup window.,32000,Dairy,16,1361,48x40x60 in pallets,booked,Heartland Hauling,339476,2026-04-29T22:00:00+00:00,3030
L-2266,"Atlanta, GA","Nashville, TN",2026-05-09T08:00:00+00:00,2026-05-09T18:03:15.187479+00:00,Dry Van,430,Live unload. Lumper fee reimbursed with receipt.,32000,Paper Products,10,214,48x40x48 in pallets,booked,Summit Cargo Solutions,203684,2026-05-08T05:00:00+00:00,452
L-2267,"El Paso, TX","Baltimore, MD",2026-05-14T06:30:00+00:00,2026-05-17T05:20:18.740000+00:00,Dry Van,3270,TWIC card required at port pickup.,36000,Packaged Food,14,1749,48x40x48 in pallets,booked,Summit Cargo Solutions,203684,2026-05-11T15:30:00+00:00,3434
L-2268,"Houston, TX","Seattle, WA",2026-05-27T15:00:00+00:00,2026-05-30T13:38:24.299368+00:00,Flatbed,4480,Oversized load permit included.,41000,Lumber,13,1889,360x96x61 in,available,,,,
L-2269,"Detroit, MI","El Paso, TX",2026-05-09T07:00:00+00:00,2026-05-11T14:20:54.191138+00:00,Flatbed,3810,Multi-stop pickup at two locations.,46000,Lumber,13,1477,240x96x65 in,booked,Pine Ridge Trucking,672041,2026-05-01T10:00:00+00:00,3810
L-2270,"Houston, TX","Denver, CO",2026-05-02T08:15:00+00:00,2026-05-03T14:36:09.115707+00:00,Dry Van,1620,Live unload. Lumper fee reimbursed with receipt.,43000,Consumer Goods,24,878,48x40x65 in pallets,available,,,,
L-2271,"Sacramento, CA","Los Angeles, CA",2026-05-07T13:15:00+00:00,2026-05-07T22:50:16.492397+00:00,Dry Van,630,TWIC card required at port pickup.,41000,Auto Parts,7,361,48x40x50 in pallets,booked,J.B. HUNT TRANSPORT INC,184320,2026-05-02T01:15:00+00:00,630
L-2272,"St. Louis, MO","Charlotte, NC",2026-05-16T05:45:00+00:00,2026-05-17T07:49:22.266001+00:00,Flatbed,1400,Inside delivery. Driver assist required.,32000,Concrete Products,14,567,360x96x64 in,available,,,,
L-2273,"Newark, NJ","Denver, CO",2026-05-21T09:45:00+00:00,2026-05-23T17:45:28.687771+00:00,Dry Van,2790,FCFS pickup window.,46000,Electronics,18,1618,48x40x50 in pallets,booked,Cascadia Freight Co,541938,2026-05-18T16:45:00+00:00,2930
L-2274,"Chicago, IL","Portland, OR",2026-05-21T14:00:00+00:00,2026-05-24T13:02:15.412067+00:00,Flatbed,4450,TWIC card required at port pickup.,41000,Building Materials,17,1754,480x96x68 in,available,,,,
L-2275,"Phoenix, AZ","New Orleans, LA",2026-05-01T10:15:00+00:00,2026-05-03T10:37:37.969832+00:00,Dry Van,2260,TWIC card required at port pickup.,38000,Retail Goods,22,1313,48x40x55 in pallets,available,,,,
L-2276,"Birmingham, AL","Indianapolis, IN",2026-05-08T08:30:00+00:00,2026-05-08T21:17:41.129730+00:00,Dry Van,860,Appointment required at delivery.,22000,Auto Parts,24,433,48x40x60 in pallets,booked,Heartland Hauling,339476,2026-05-04T11:30:00+00:00,860
L-2277,"Denver, CO","Portland, OR",2026-05-19T10:30:00+00:00,2026-05-20T21:46:33.312059+00:00,Dry Van,1920,No-touch freight.,22000,Electronics,24,981,48x40x65 in pallets,booked,Gulf Coast Carriers,721594,2026-05-12T22:30:00+00:00,1920
L-2278,"San Antonio, TX","Chicago, IL",2026-05-10T07:45:00+00:00,2026-05-11T16:57:42.677873+00:00,Reefer,2340,Appointment required at delivery.,22000,Meat,6,1053,48x40x65 in pallets,booked,J.B. HUNT TRANSPORT INC,184320,2026-05-09T03:45:00+00:00,2340
L-2279,"Chicago, IL","Dallas, TX",2026-05-26T07:30:00+00:00,2026-05-27T14:26:51.901911+00:00,Dry Van,1390,Inside delivery. Driver assist required.,41000,Electronics,24,804,48x40x70 in pallets,available,,,,
L-2280,"Minneapolis, MN","Denver, CO",2026-05-28T14:30:00+00:00,2026-05-29T20:18:08.046004+00:00,Step Deck,2070,Detention paid after 2 hours.,41000,Heavy Machinery,24,698,240x102x117 in,available,,,,
L-2281,"Phoenix, AZ","Atlanta, GA",2026-05-24T11:45:00+00:00,2026-05-26T20:06:24.195825+00:00,Dry Van,3120,Multi-stop pickup at two locations.,32000,Retail Goods,28,1588,48x40x65 in pallets,available,,,,
L-2282,"Charlotte, NC","Jacksonville, FL",2026-05-13T09:30:00+00:00,2026-05-13T18:49:45.816452+00:00,Dry Van,700,Detention paid after 2 hours.,22000,Retail Goods,30,341,48x40x65 in pallets,available,,,,
L-2283,"Dallas, TX","Portland, OR",2026-05-30T15:15:00+00:00,2026-06-02T00:25:42.913528+00:00,Reefer,4150,Inside delivery. Driver assist required.,28000,Produce,16,1631,48x40x70 in pallets,available,,,,
L-2284,"Dallas, TX","Cleveland, OH",2026-05-06T06:30:00+00:00,2026-05-07T16:45:59.471051+00:00,Dry Van,1820,Live unload. Lumper fee reimbursed with receipt.,38000,Packaged Food,17,1024,48x40x55 in pallets,available,,,,
L-2285,"Charlotte, NC","Las Vegas, NV",2026-05-02T11:45:00+00:00,2026-05-05T12:58:49.216721+00:00,Flatbed,5250,TWIC card required at port pickup.,32000,Steel,18,1915,360x96x70 in,booked,J.B. HUNT TRANSPORT INC,184320,2026-04-30T20:45:00+00:00,5250
L-2286,"Seattle, WA","Las Vegas, NV",2026-05-21T08:15:00+00:00,2026-05-22T15:28:30.538836+00:00,Reefer,1960,No-touch freight.,22000,Meat,14,871,48x40x48 in pallets,booked,Summit Cargo Solutions,203684,2026-05-15T08:15:00+00:00,1960
L-2287,"Dallas, TX","Jacksonville, FL",2026-05-06T06:00:00+00:00,2026-05-07T13:28:18.488413+00:00,Dry Van,1780,Detention paid after 2 hours.,46000,Beverages,26,906,48x40x50 in pallets,available,,,,
L-2288,"Memphis, TN","Richmond, VA",2026-05-04T10:15:00+00:00,2026-05-05T16:32:51.337258+00:00,Dry Van,1410,Multi-stop pickup at two locations.,43000,Consumer Goods,14,720,48x40x70 in pallets,booked,Lonestar Logistics LLC,885214,2026-04-28T00:15:00+00:00,1410
L-2289,"Phoenix, AZ","Nashville, TN",2026-05-02T11:45:00+00:00,2026-05-04T15:12:15.695057+00:00,Dry Van,2460,Live unload. Lumper fee reimbursed with receipt.,41000,Auto Parts,15,1442,48x40x70 in pallets,available,,,,
L-2290,"Nashville, TN","Newark, NJ",2026-05-01T08:15:00+00:00,2026-05-02T13:49:21.945491+00:00,Dry Van,1410,Live unload. Lumper fee reimbursed with receipt.,28000,Auto Parts,15,751,48x40x60 in pallets,booked,Big Sky Motor Lines,456813,2026-04-27T09:15:00+00:00,1410
L-2291,"Chicago, IL","Boston, MA",2026-05-03T14:45:00+00:00,2026-05-04T20:26:58.289576+00:00,Flatbed,2110,TWIC card required at port pickup.,43000,Lumber,7,848,360x96x64 in,available,,,,
L-2292,"Chicago, IL","Columbus, OH",2026-05-19T05:15:00+00:00,2026-05-19T15:46:44.186046+00:00,Dry Van,480,No-touch freight.,28000,Apparel,31,276,48x40x65 in pallets,available,,,,
L-2293,"Chicago, IL","Detroit, MI",2026-05-27T11:45:00+00:00,2026-05-27T22:19:57.038939+00:00,Reefer,560,Appointment required at delivery.,46000,Frozen Food,21,236,48x40x55 in pallets,booked,SCHNEIDER NATIONAL CARRIERS INC,87413,2026-05-19T16:45:00+00:00,588
L-2294,"Houston, TX","Birmingham, AL",2026-05-17T15:15:00+00:00,2026-05-18T15:03:04.058996+00:00,Flatbed,1350,Inside delivery. Driver assist required.,46000,Steel,12,566,300x96x44 in,booked,SCHNEIDER NATIONAL CARRIERS INC,87413,2026-05-12T18:15:00+00:00,1350
L-2295,"Dallas, TX","Richmond, VA",2026-05-07T07:30:00+00:00,2026-05-09T05:34:44.392638+00:00,Dry Van,1980,Multi-stop pickup at two locations.,28000,Beverages,18,1140,48x40x65 in pallets,booked,J.B. HUNT TRANSPORT INC,184320,2026-05-01T16:30:00+00:00,2079
L-2296,"Phoenix, AZ","Pittsburgh, PA",2026-05-30T05:45:00+00:00,2026-06-02T02:42:00.271334+00:00,Reefer,3990,Maintain 34F throughout transit.,32000,Dairy,24,1825,48x40x48 in pallets,booked,Continental Trans LLC,918275,2026-05-28T05:45:00+00:00,3990
L-2297,"St. Louis, MO","Las Vegas, NV",2026-05-26T09:30:00+00:00,2026-05-28T14:30:41.667303+00:00,Reefer,3150,TWIC card required at port pickup.,38000,Frozen Food,24,1375,48x40x65 in pallets,booked,WERNER ENTERPRISES INC,118273,2026-05-24T19:30:00+00:00,3150
L-2298,"Chicago, IL","San Antonio, TX",2026-05-13T07:45:00+00:00,2026-05-14T16:57:54.468468+00:00,Dry Van,2060,Drop and hook at both ends.,41000,Apparel,29,1053,48x40x60 in pallets,booked,Gulf Coast Carriers,721594,2026-05-11T08:45:00+00:00,2060
L-2299,"Minneapolis, MN","Columbus, OH",2026-05-11T09:30:00+00:00,2026-05-12T11:09:40.991806+00:00,Dry Van,1270,Live unload. Lumper fee reimbursed with receipt.,46000,Consumer Goods,13,627,48x40x50 in pallets,booked,Continental Trans LLC,918275,2026-05-05T10:30:00+00:00,1270
L-2300,"Phoenix, AZ","Baltimore, MD",2026-05-09T11:00:00+00:00,2026-05-12T11:45:06.273949+00:00,Step Deck,6180,Detention paid after 2 hours.,36000,Construction Equipment,29,2000,300x102x144 in,booked,J.B. HUNT TRANSPORT INC,184320,2026-05-06T00:00:00+00:00,6489
